,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,alcohol,quality
194,0.29,3.6,0.2,181.0,0.9942,9.1,5
195,0.3,3.5,0.19699999999999998,180.0,0.9942,9.1,6
196,0.29,3.6,0.19699999999999998,183.0,0.9942,9.1,5
197,0.26,7.8,0.052000000000000005,214.0,0.9961,8.9,5
198,0.32,13.1,0.05,204.0,0.998,8.8,5
199,0.26,7.8,0.052000000000000005,214.0,0.9961,8.9,5
200,0.27,16.1,0.049,196.0,0.9984,9.3,5
201,0.32,13.1,0.05,204.0,0.998,8.8,5
202,0.54,13.2,0.05,236.0,0.9973,9.6,5
203,0.26,13.9,0.034,134.0,0.9949,12.0,6
204,0.28,2.3,0.053,114.0,0.9924,10.2,4
205,0.21,11.6,0.042,153.0,0.9972,8.8,5
206,0.16,8.3,0.045,126.0,0.9958,9.2,5
207,0.44,6.2,0.049,124.0,0.9968,9.9,4
208,0.57,2.2,0.04,77.0,0.9938,10.2,5
209,0.4,0.9,0.048,170.0,0.993,9.5,6
210,0.245,9.7,0.032,68.0,0.9940000000000001,10.5,5
211,0.18,1.4,0.038,111.0,0.9918,11.2,7
212,0.16,8.3,0.045,126.0,0.9958,9.2,5
213,0.13,5.3,0.051,122.0,0.9944,9.7,6
214,0.25,1.4,0.03,105.0,0.9912,11.1,7
215,0.26,9.2,0.044000000000000004,152.0,0.9961,9.4,5
216,0.27,7.0,0.036000000000000004,164.0,0.9939,11.0,5
217,0.26,9.2,0.044000000000000004,152.0,0.9961,9.4,5
218,0.28,17.5,0.044000000000000004,167.0,0.9989,9.4,5
219,0.23,7.0,0.036000000000000004,161.0,0.9938,11.0,5
220,0.27,7.0,0.036000000000000004,164.0,0.9939,11.0,5
221,0.685,9.5,0.07,172.0,0.9971,9.1,6
222,0.25,1.4,0.03,105.0,0.9912,11.1,7
223,0.19,0.8,0.043,144.0,0.9936,9.1,6
224,0.495,1.8,0.046,140.0,0.9929,10.4,6
225,0.24,17.8,0.046,145.0,0.9998,8.7,5
226,0.17,2.4,0.048,200.0,0.9938,9.7,6
227,0.25,10.3,0.040999999999999995,272.0,0.9969,9.1,6
228,0.17,2.4,0.048,200.0,0.9938,9.7,6
229,0.24,17.8,0.046,145.0,0.9998,8.7,5
230,0.64,9.7,0.062,142.0,0.9972,8.9,4
231,0.28,7.8,0.040999999999999995,194.0,0.9976,9.6,6
232,0.27,7.8,0.039,208.0,0.9976,9.5,6
233,0.23,14.3,0.057999999999999996,194.0,0.9979,9.0,6
234,0.23,14.3,0.057999999999999996,194.0,0.9979,9.0,6
235,0.23,14.3,0.057999999999999996,194.0,0.9979,9.0,6
236,0.23,14.3,0.057999999999999996,194.0,0.9979,9.0,6
237,0.52,13.2,0.044000000000000004,221.0,0.9972,9.6,6
238,0.26,1.4,0.037000000000000005,120.0,0.9918,11.1,7
239,0.25,15.55,0.039,159.0,0.9982,9.6,6
240,0.32,13.7,0.05,197.0,0.9985,8.7,5
241,0.31,7.8,0.031,90.0,0.9944,10.4,5
242,0.21,2.4,0.026000000000000002,100.0,0.9903,11.4,7
243,0.24,2.7,0.047,218.5,0.9934,9.7,6
244,0.4,11.2,0.043,142.0,0.9975,8.7,5
245,0.18,2.0,0.038,249.5,0.9923,11.3,6
246,0.21,2.1,0.03,139.0,0.99,12.6,7
247,0.2,1.4,0.031,77.0,0.9905,10.9,7
248,0.19,1.4,0.03,76.0,0.9905,10.9,7
249,0.41,10.4,0.037000000000000005,119.0,0.996,10.0,5
250,0.21,4.6,0.053,199.0,0.9964,10.0,4
251,0.26,16.2,0.07400000000000001,197.0,0.998,9.8,3
252,0.4,11.2,0.043,142.0,0.9975,8.7,5
253,0.24,3.5,0.028999999999999998,109.0,0.9913,11.7,3
254,0.24,1.5,0.054000000000000006,158.0,0.9932,9.3,6
255,0.26,1.1,0.04,147.0,0.9935,9.6,8
256,0.35,5.7,0.035,97.0,0.9927,11.0,7
257,0.35,5.7,0.035,97.0,0.9927,11.0,7
258,0.23,1.8,0.032,118.0,0.9912,11.8,6
259,0.36,0.9,0.037000000000000005,75.0,0.9904,11.4,4
260,0.115,5.4,0.048,108.0,0.9939,10.2,6
261,0.29,19.45,0.043,156.0,0.9996,8.9,5
262,0.28,8.2,0.036000000000000004,95.0,0.9944,10.2,5
263,0.29,13.6,0.045,231.0,0.9977,9.6,6
264,0.24,1.2,0.038,167.0,0.9912,10.6,6
265,0.29,19.45,0.043,156.0,0.9996,8.9,5
266,0.32,8.3,0.053,180.0,0.9965,9.2,6
267,0.58,6.9,0.043,149.0,0.9944,9.7,5
268,0.585,7.1,0.044000000000000004,145.0,0.9945,9.7,6
269,0.59,7.0,0.045,147.0,0.9944,9.7,6
270,0.32,8.3,0.053,180.0,0.9965,9.2,6
271,0.6,7.0,0.044000000000000004,147.0,0.9944,9.7,5
272,0.25,13.1,0.051,148.0,0.9972,9.3,5
273,0.58,5.1,0.057,123.0,0.9949,9.0,5
274,0.29,10.7,0.046,234.0,0.9966,9.5,5
275,0.19,8.9,0.046,169.0,0.9954,9.8,6
276,0.2,9.1,0.044000000000000004,166.0,0.9954,9.8,6
277,0.26,1.1,0.042,60.0,0.9915,10.6,5
278,0.32,1.2,0.044000000000000004,67.0,0.9919,10.6,4
279,0.3,4.7,0.036000000000000004,105.0,0.9916,12.4,7
280,0.24,2.8,0.034,112.0,0.99,12.6,8
281,0.31,5.0,0.039,114.0,0.9909,12.3,8
282,0.44,5.1,0.047,201.0,0.9938,10.5,4
283,0.34,15.6,0.054000000000000006,196.0,0.9982,9.3,5
284,0.35,15.4,0.055,198.0,0.9988,8.8,5
285,0.32,7.2,0.055999999999999994,180.0,0.9961,8.8,5
286,0.28,15.7,0.053,190.0,0.9978,9.7,6
287,0.23,14.2,0.057999999999999996,192.0,0.9979,9.0,7
288,0.23,14.2,0.057999999999999996,192.0,0.9979,9.0,7
289,0.23,14.2,0.057999999999999996,192.0,0.9979,9.0,7
290,0.23,14.2,0.057999999999999996,192.0,0.9979,9.0,7
291,0.15,5.8,0.040999999999999995,155.0,0.9945,10.5,6
292,0.28,19.8,0.066,195.0,1.0,9.1,5
293,0.28,7.3,0.040999999999999995,157.0,0.9957,9.8,7
294,0.59,1.6,0.066,182.0,0.9968,8.5,3
295,0.33,1.2,0.046,175.0,0.9934,9.4,6
296,0.39,10.6,0.045,169.0,0.9976,9.4,5
297,0.19,3.8,0.040999999999999995,187.0,0.9932,11.2,7
298,0.17,11.3,0.046,146.0,0.997,10.0,6
299,0.17,2.1,0.043,122.0,0.9923,10.3,6
300,0.41,1.6,0.063,87.0,0.9914,10.8,6
301,0.2,0.9,0.05,74.0,0.992,10.5,6
302,0.41,1.6,0.063,87.0,0.9914,10.8,6
303,0.29,1.3,0.055,168.0,0.9914,11.1,6
304,0.41,6.8,0.057,163.0,0.9949,9.9,6
305,0.41,6.8,0.057,163.0,0.9949,9.9,6
306,0.43,6.7,0.057999999999999996,163.0,0.995,9.9,5
307,0.4,6.7,0.057999999999999996,166.0,0.995,9.9,6
308,0.33,4.9,0.036000000000000004,134.0,0.9927,10.4,7
309,0.31,4.8,0.037000000000000005,148.0,0.9928,10.4,6
310,0.36,2.1,0.035,100.0,0.9917,11.5,7
311,0.55,8.3,0.032,164.0,0.9918,12.5,8
312,0.25,3.7,0.042,149.0,0.9954,10.0,6
313,0.36,6.7,0.038,166.0,0.9941,10.0,6
314,0.34,6.6,0.04,167.0,0.9941,10.0,5
315,0.28,1.1,0.132,127.0,0.9934,9.1,6
316,0.25,4.7,0.031,134.0,0.9927,10.6,6
317,0.24,7.7,0.031,135.0,0.9938,10.5,5
318,0.3,7.85,0.03,133.0,0.9933,11.5,7
319,0.125,3.3,0.04,69.0,0.9934,10.1,6
320,0.1,1.1,0.040999999999999995,65.0,0.9927,10.3,7
321,0.24,7.7,0.031,135.0,0.9938,10.5,5
322,0.25,4.7,0.031,134.0,0.9927,10.6,6
323,0.28,9.3,0.031,137.0,0.9946,10.4,6
324,0.41,2.0,0.046,207.0,0.993,11.4,5
325,0.27,5.8,0.057,313.0,0.9946,10.5,5
326,0.26,15.15,0.04,216.0,0.9976,10.0,6
327,0.34,6.3,0.039,143.0,0.9944,10.0,6
328,0.28,15.4,0.042,195.0,0.9978,9.6,6
329,0.21,1.3,0.036000000000000004,85.0,0.992,10.4,5
330,0.32,4.8,0.03,101.0,0.9912,12.5,8
331,0.24,4.6,0.032,135.0,0.9927,10.6,5
332,0.23,1.8,0.033,91.0,0.9906,11.8,6
333,0.28,9.9,0.038,133.0,0.9954,9.8,5
334,0.26,5.7,0.031,80.0,0.9923,10.8,5
335,0.23,1.8,0.033,91.0,0.9906,11.8,6
336,0.23,1.5,0.036000000000000004,105.0,0.991,11.2,6
337,0.27,12.3,0.045,170.0,0.9972,9.3,6
338,0.26,1.3,0.047,139.0,0.9945,10.4,5
339,0.18,1.5,0.049,141.0,0.9934,10.2,7
340,0.2,7.8,0.045,153.0,0.9964,9.0,7
341,0.24,1.5,0.047,129.0,0.9948,10.0,6
342,0.26,9.7,0.044000000000000004,140.0,0.9962,9.1,6
343,0.31,3.0,0.053,144.0,0.9931,10.0,5
344,0.29,3.0,0.052000000000000005,145.0,0.993,10.0,6
345,0.145,4.6,0.05,131.0,0.9942,9.6,6
346,0.34,1.3,0.031,68.0,0.9906,11.2,7
347,0.19,15.6,0.055999999999999994,155.0,0.9995,8.8,6
348,0.18,13.6,0.052000000000000005,118.0,0.998,10.0,6
349,0.17,11.2,0.054000000000000006,137.0,0.997,10.0,5
350,0.12,2.1,0.044000000000000004,146.0,0.9914,11.4,7
351,0.33,6.85,0.038,138.0,0.992,11.9,7
352,0.335,2.5,0.071,128.0,0.9924,9.6,6
353,0.33,6.85,0.038,138.0,0.992,11.9,7
354,0.4,4.4,0.047,245.0,0.9937,9.6,6
355,0.22,14.3,0.063,191.0,0.9978,9.0,6
356,0.22,14.3,0.063,191.0,0.9978,9.0,6
357,0.36,1.1,0.05,169.0,0.9927,9.5,6
358,0.2,1.4,0.05,152.0,0.9940000000000001,10.4,6
359,0.24,4.7,0.04,161.0,0.9935,10.6,6
360,0.24,14.9,0.047,162.0,0.9968,10.2,6
361,0.365,1.2,0.055,84.0,0.9941,8.9,5
362,0.15,5.3,0.05,127.0,0.9942,9.7,6
363,0.22,14.3,0.063,191.0,0.9978,9.0,6
364,0.16,2.3,0.037000000000000005,102.0,0.9923,11.4,7
365,0.26,3.5,0.027999999999999997,113.0,0.9912,12.3,7
366,0.18,1.5,0.08900000000000001,143.0,0.9923,10.8,6
367,0.33,1.0,0.053,148.0,0.9927,9.4,6
368,0.29,2.3,0.049,178.0,0.9931,10.6,6
369,0.39,12.5,0.044000000000000004,72.0,0.9941,11.6,5
370,0.33,1.0,0.053,148.0,0.9927,9.4,6
371,0.29,2.3,0.049,178.0,0.9931,10.6,6
372,0.905,0.8,0.048,204.0,0.9934,10.0,5
373,0.27,2.4,0.048,149.0,0.9936,9.2,6
374,0.33,1.6,0.027000000000000003,89.0,0.9893,12.5,7
375,0.33,1.6,0.027000000000000003,89.0,0.9893,12.5,7
376,0.31,1.5,0.037000000000000005,119.0,0.9919,10.4,7
377,0.2,1.4,0.045,98.0,0.9924,10.0,7
378,0.32,2.6,0.049,155.0,0.9927,10.0,6
379,0.31,1.5,0.037000000000000005,119.0,0.9919,10.4,7
380,0.2,1.4,0.045,98.0,0.9924,10.0,7
381,0.28,12.5,0.046,179.0,0.9975,9.0,6
382,0.35,9.6,0.051,157.0,0.9969,9.2,6
383,0.27,2.4,0.048,149.0,0.9936,9.2,6
384,0.36,3.2,0.027000000000000003,125.0,0.991,11.3,7
385,0.33,1.6,0.027000000000000003,89.0,0.9893,12.5,7
386,0.17,1.5,0.026000000000000002,115.0,0.9906,10.8,7
387,0.39,5.9,0.04,260.0,0.9941,10.1,5
388,0.21,5.4,0.047,140.0,0.995,9.7,6
389,0.3,14.9,0.032,181.0,0.9983,9.3,7
390,0.3,14.9,0.032,181.0,0.9983,9.3,7
391,0.36,1.1,0.031,66.0,0.9916,10.6,5
392,0.55,9.8,0.031,125.0,0.9957,10.2,6
393,0.24,2.0,0.021,69.0,0.99,12.2,6
394,0.37,11.8,0.044000000000000004,163.0,0.9976,8.8,5
395,0.27,1.3,0.04,168.0,0.992,10.0,5
396,0.28,1.8,0.031,93.0,0.9917,11.4,5
397,0.2,1.5,0.037000000000000005,107.0,0.9917,11.4,6
398,0.26,18.2,0.048,168.0,0.9993,9.4,5
399,0.19,2.9,0.032,83.0,0.9908,11.7,6
400,0.2,1.5,0.037000000000000005,107.0,0.9917,11.4,6
401,0.37,11.8,0.044000000000000004,163.0,0.9976,8.8,5
402,0.35,1.4,0.069,108.0,0.9934,9.2,5
403,0.27,18.2,0.046,252.0,1.0,8.7,5
404,0.22,6.3,0.035,170.0,0.9918,12.6,6
405,0.27,1.3,0.04,168.0,0.992,10.0,5
406,0.28,4.0,0.031,99.0,0.9896,12.8,7
407,0.49,1.2,0.049,125.0,0.9932,9.4,5
408,0.14,1.2,0.044000000000000004,116.0,0.992,10.3,6
409,0.28,1.8,0.031,93.0,0.9917,11.4,5
410,0.25,18.95,0.038,155.0,0.9999,9.0,6
411,0.28,12.7,0.04,140.0,0.998,9.6,6
412,0.19,1.2,0.036000000000000004,85.0,0.9918,10.5,5
413,0.19,1.2,0.036000000000000004,85.0,0.9918,10.5,5
414,0.25,18.95,0.038,155.0,0.9999,9.0,6
415,0.28,12.7,0.04,140.0,0.998,9.6,6
416,0.21,1.2,0.040999999999999995,99.0,0.9927,9.8,6
417,0.26,7.7,0.047,210.0,0.9959,9.0,5
418,0.21,1.2,0.040999999999999995,99.0,0.9927,9.8,6
419,0.31,1.6,0.05,137.0,0.9929,10.5,6
420,0.22,2.7,0.03,136.0,0.9898,12.7,7
421,0.21,8.7,0.045,222.0,0.9954,10.4,6
422,0.21,8.6,0.045,221.0,0.9954,10.4,6
423,0.21,8.6,0.045,221.0,0.9954,10.4,6
424,0.23,8.3,0.047,162.0,0.9954,10.5,7
425,0.21,8.7,0.045,222.0,0.9954,10.4,6
426,0.21,8.6,0.045,221.0,0.9954,10.4,6
427,0.29,13.3,0.053,194.0,0.9974,9.4,5
428,0.21,1.2,0.051,89.0,0.9936,9.1,5
429,0.31,13.6,0.055999999999999994,197.0,0.9978,9.3,5
430,0.29,13.3,0.053,194.0,0.9974,9.4,5
431,0.34,1.1,0.048,84.0,0.9927,9.8,5
432,0.155,2.3,0.045,214.0,0.9934,9.9,7
433,0.55,1.5,0.10800000000000001,151.0,0.9938,9.2,4
434,0.23,7.1,0.027999999999999997,104.0,0.9922,12.1,8
435,0.2,6.2,0.027000000000000003,97.0,0.992,12.2,7
436,0.28,2.5,0.042,218.5,0.9935,9.8,5
437,0.16,1.4,0.035,186.0,0.9906,12.4,8
438,0.155,2.3,0.045,214.0,0.9934,9.9,7
439,0.35,1.2,0.06,108.0,0.9934,9.2,5
440,0.22,1.6,0.027999999999999997,102.0,0.9913,11.6,7
441,0.38,6.6,0.033,137.0,0.9938,10.4,6
442,0.25,2.2,0.026000000000000002,126.0,0.9898,12.9,8
443,0.52,12.2,0.048,245.0,0.9975,9.3,6
444,0.24,20.8,0.031,139.0,0.9975,11.0,6
445,0.32,11.0,0.038,66.0,0.9937,11.5,3
446,0.28,2.6,0.054000000000000006,156.0,0.9914,12.4,5
447,0.41,14.0,0.048,113.0,0.9982,9.8,6
448,0.41,14.0,0.048,113.0,0.9982,9.8,6
449,0.28,1.6,0.052000000000000005,127.0,0.9929,10.5,7
450,0.6,9.9,0.07,174.0,0.9971,9.1,5
451,0.2,1.2,0.038,128.0,0.9921,10.1,5
452,0.46,2.7,0.042,160.0,0.9931,10.6,7
453,0.27,1.6,0.046,113.0,0.9924,10.5,7
454,0.28,1.6,0.052000000000000005,127.0,0.9929,10.5,7
455,0.41,14.0,0.048,113.0,0.9982,9.8,6
